Date,META,MSFT,NVDA,TSLA
2025-02-14,16901200,22758500,195479600,68277300
2025-02-18,21938700,21423100,219176600,51631700
2025-02-19,17535500,24114200,167536000,67094400
2025-02-20,12587400,23508700,143903600,45965400
2025-02-21,15660400,27524800,228217600,74058600
2025-02-24,15677000,26443700,251381100,76052300
2025-02-25,20579700,29387400,271428700,134228800
2025-02-26,14488700,19619000,322553800,100118300
2025-02-27,12500000,21127400,443175800,101748200
2025-02-28,17534200,32845700,389091100,115697000
2025-03-03,10843800,23007700,411381400,115551400
2025-03-04,21495200,29342900,398163300,126706600
2025-03-05,13770000,23433100,284337900,94042900
2025-03-06,13446500,23304600,321181900,98451600
2025-03-07,21375700,22034100,341755500,102369600
2025-03-10,21999900,32840100,366487400,189076900
2025-03-11,17401500,30380200,354865700,174896400
2025-03-12,15747000,24253600,323857500,142215700
2025-03-13,16480300,20473000,299033100,114813500
2025-03-14,12364500,19952800,277593500,100242300
2025-03-17,15473900,22474300,255501500,111900600
2025-03-18,20297700,19486900,299686900,111477600
2025-03-19,20537500,19185500,273426200,111993800
2025-03-20,24336500,18470500,248829700,99028300
2025-03-21,25015900,39675900,266498500,132728700
2025-03-24,15741300,21004500,228452500,169079900
2025-03-25,15312500,15775000,167447200,150361500
2025-03-26,12609800,16108400,293463300,153629800
2025-03-27,10436500,13766800,236902100,162572100
2025-03-28,17602800,21632000,229872500,123809400
2025-03-31,21124700,35184700,299212700,134008900
2025-04-01,12836600,19689500,222614000,146486900
2025-04-02,13470800,16092600,220601200,212787800
2025-04-03,34777500,30198000,338769400,136174300
2025-04-04,38589800,49209900,532273800,181229400
2025-04-07,36606100,50425000,611041300,183453800
2025-04-08,28034200,35868900,476243400,171603500
2025-04-09,39216600,50199700,612918300,219433400
2025-04-10,28173500,38024400,437812400,181722600
2025-04-11,17642300,23839200,313417300,128948100
2025-04-14,14130900,19251200,264705000,100135200
2025-04-15,15558700,17199900,228966900,79594300
2025-04-16,18735100,21967800,397016900,112378700
2025-04-17,14593500,21120200,292517500,83404800
2025-04-21,16166000,20807300,288501100,97768000
2025-04-22,17399400,19485000,241004800,120858500
2025-04-23,18173900,20545500,247526000,150381900
2025-04-24,13910000,22232300,220815000,94464200
2025-04-25,17098900,18973200,251064700,167560700
2025-04-28,15179000,16579400,207708500,151731800
2025-04-29,11835000,14974000,170444300,108906600
2025-04-30,29244000,36461100,235044600,128961100
2025-05-01,31159000,58938100,236121500,99659000
2025-05-02,24739300,30757400,190194800,114454700
2025-05-05,13887700,20136100,133163200,94618900
2025-05-06,10600700,15104200,158525600,76715800
2025-05-07,13139100,23295300,206758800,71592600
2025-05-08,14622800,23491300,198428100,97539400
2025-05-09,10427300,15324200,132972200,132387800
2025-05-12,21965100,22821900,225023300,112826700
2025-05-13,18570800,23618800,330430100,136992600
2025-05-14,12348200,19902800,281180800,136997300
2025-05-15,14341800,21992300,226632600,97882600
2025-05-16,18519000,23849800,226542500,95895700
2025-05-19,9592400,21336500,193154600,88869900
2025-05-20,6743500,15441800,161514200,131715500
2025-05-21,11464600,19216900,270608700,102354800
2025-05-22,8228400,18025600,187344000,97113400
2025-05-23,8454100,16883500,198821300,84654800
